MonthYear,SalesPerMonth
01/2009,112
02/2009,118
03/2009,132
04/2009,129
05/2009,121
06/2009,135
07/2009,148
08/2009,148
09/2009,136
10/2009,119
11/2009,104
12/2009,118
01/2010,115
02/2010,126
03/2010,141
04/2010,135
05/2010,125
06/2010,149
07/2010,170
08/2010,170
09/2010,158
10/2010,133
11/2010,114
12/2010,140
01/2011,145
02/2011,150
03/2011,178
04/2011,163
05/2011,172
06/2011,178
07/2011,199
08/2011,199
09/2011,184
10/2011,162
11/2011,146
12/2011,166
01/2012,171
02/2012,180
03/2012,193
04/2012,181
05/2012,183
06/2012,218
07/2012,230
08/2012,242
09/2012,209
10/2012,191
11/2012,172
12/2012,194
01/2013,196
02/2013,196
03/2013,236
04/2013,235
05/2013,229
06/2013,243
07/2013,264
08/2013,272
09/2013,237
10/2013,211
11/2013,180
12/2013,201
01/2014,204
02/2014,188
03/2014,235
04/2014,227
05/2014,234
06/2014,264
07/2014,302
08/2014,293
09/2014,259
10/2014,229
11/2014,203
12/2014,229
01/2015,242
02/2015,233
03/2015,267
04/2015,269
05/2015,270
06/2015,315
07/2015,364
08/2015,347
09/2015,312
10/2015,274
11/2015,237
12/2015,278
01/2016,284
02/2016,277
03/2016,317
04/2016,313
05/2016,318
06/2016,374
07/2016,413
08/2016,405
09/2016,355
10/2016,306
11/2016,271
12/2016,306
01/2017,315
02/2017,301
03/2017,356
04/2017,348
05/2017,355
06/2017,422
07/2017,465
08/2017,467
09/2017,404
10/2017,347
11/2017,305
12/2017,336
01/2018,340
02/2018,318
03/2018,362
04/2018,348
05/2018,363
06/2018,435
07/2018,491
08/2018,505
09/2018,404
10/2018,359
11/2018,310
12/2018,337
01/2019,360
02/2019,342
03/2019,406
04/2019,396
05/2019,420
06/2019,472
07/2019,548
08/2019,559
09/2019,463
10/2019,407
11/2019,362
12/2019,405
