DayOfMonth,MinTemp,MaxTemp,Precipitation
1,3.1,9.7,25.2
2,0.6,4.8,1.5
3,-0.9,3.8,0.3
4,2.9,8.2,9.3
5,7.3,8,31.5
6,4,7.5,5.3
7,2.4,5.5,6.1
8,3.4,6,11.7
9,0.5,3.7,0
10,1.1,5.2,0.4
11,3.4,7.6,7.4
12,1.9,3.9,0.1
13,0.7,6.7,17.8
14,-2.2,2.2,6.6
15,-0.7,6,5
16,1.6,6.4,12.9
17,-1,2.2,8.2
18,-3.6,4.2,3.9
19,0.9,4.3,4.5
20,-1.2,3.3,2.1
21,0,2.8,15.2
22,2.3,5.6,0
23,0.9,5,0
24,0.6,2.6,2.9
25,0.6,2.8,0.4
26,0.6,4,3
27,-1.5,2.2,1.1
28,-5.2,-0.2,0
29,-2.2,2.3,2.2
30,0.6,4.9,6.3
31,0.6,3.7,0
1,1.5,5.9,0
2,-3.4,1.7,0.1
3,-2.8,3.2,0.2
4,-0.1,5,2.7
5,-1.3,5.3,2.2
6,1.2,5.5,0
7,3.1,6.2,8.1
8,1.6,6.4,4.6
9,3.8,8.1,8.8
10,2,5.9,5.6
11,0.9,3.7,0
12,-0.1,6.2,2.7
13,6.2,9.2,22.7
14,6.4,8.1,0.7
15,7.2,12.9,2.1
16,4.9,9,2.4
17,3.4,11.1,4.1
18,6.8,11,1.4
19,5,6.9,14.6
20,0.8,6.3,6.4
21,5,8.6,19.9
22,7,9.1,1.4
23,7.8,10.1,0
24,6,11.2,0.3
25,3.8,9,0.1
26,5.9,13.5,1.4
27,5.6,8.5,0.1
28,2.7,7.9,4.5
1,0.8,7.4,0
2,1.5,4.6,0
3,4.6,7.1,4.2
4,5,8.2,12.6
5,4.1,6.9,1.2
6,3.2,8.9,10
7,4,6.8,7.3
8,0.8,6.2,11.6
9,0.3,4,7.3
10,-3.7,4.7,3.1
11,-3.2,6.4,0
12,1.6,6.1,1.3
13,0.1,8.9,14.1
14,1.9,8,12.4
15,2,4.6,2.5
16,2.7,7,12.8
17,2.2,8.2,5.6
18,3.3,8.8,0
19,-1,7.4,0
20,4.6,10.1,14.2
